Date	Ping ms	Up MBit	Down MBit
Sun 9 Oct 07:27:42 CEST 2016 	31.174	54.67	7.16
Sun 9 Oct 07:43:17 CEST 2016 	31.154	54.17	7.06
Sun 9 Oct 07:58:52 CEST 2016 	28.869	54.25	7.05
Sun 9 Oct 08:14:27 CEST 2016 	31.475	54.46	7.17
Sun 9 Oct 08:30:02 CEST 2016 	35.663	54.23	7.08
Sun 9 Oct 08:45:41 CEST 2016 	29.316	54.33	7.17
Sun 9 Oct 09:01:17 CEST 2016 	30.085	54.40	7.02
Sun 9 Oct 09:16:52 CEST 2016 	30.05	53.79	7.14
Sun 9 Oct 09:32:27 CEST 2016 	30.643	54.41	7.07
Sun 9 Oct 09:48:02 CEST 2016 	32.844	51.45	7.16
Sun 9 Oct 10:03:38 CEST 2016 	28.858	54.49	7.00
Sun 9 Oct 10:19:13 CEST 2016 	30.022	54.28	7.14
Sun 9 Oct 10:34:48 CEST 2016 	27.473	54.26	6.98
Sun 9 Oct 10:50:23 CEST 2016 	31.79	54.32	7.02
Sun 9 Oct 11:05:58 CEST 2016 	32.731	53.98	7.08
Sun 9 Oct 11:21:33 CEST 2016 	30.622	54.23	6.95
Sun 9 Oct 11:37:07 CEST 2016 	35.662	54.46	5.77
Sun 9 Oct 11:52:47 CEST 2016 	28.617	53.28	7.13
Sun 9 Oct 12:08:23 CEST 2016 	27.436	54.51	7.12
Sun 9 Oct 12:23:57 CEST 2016 	28.798	53.24	7.10
Sun 9 Oct 12:39:34 CEST 2016 	29.589	53.85	7.13
Sun 9 Oct 12:55:10 CEST 2016 	29.477	53.28	7.19
Sun 9 Oct 13:10:46 CEST 2016 	30.862	54.16	6.34
Sun 9 Oct 13:26:20 CEST 2016 	30.744	54.61	7.18
Sun 9 Oct 13:41:55 CEST 2016 	29.678	52.90	7.08
Sun 9 Oct 13:57:31 CEST 2016 	31.228	54.00	7.03
Sun 9 Oct 14:13:05 CEST 2016 	30.407	52.41	5.13
Sun 9 Oct 14:28:42 CEST 2016 	30.032	53.71	7.11
Sun 9 Oct 14:44:18 CEST 2016 	29.105	53.83	7.07
Sun 9 Oct 14:59:53 CEST 2016 	31.666	54.45	7.21
Sun 9 Oct 15:15:29 CEST 2016 	33.282	53.06	7.05
Sun 9 Oct 15:31:04 CEST 2016 	31.372	54.42	7.13
Sun 9 Oct 15:46:39 CEST 2016 	31.644	54.07	7.07
Sun 9 Oct 16:02:13 CEST 2016 	30.567	53.82	6.99
Sun 9 Oct 16:17:50 CEST 2016 	32.738	54.17	7.02
Sun 9 Oct 16:33:26 CEST 2016 	29.522	53.58	7.00
